date,code,name,price_pct,net_amount,net_super_amount,net_large_amount,net_middle_amount,net_small_amount,max_stock_names
2022-03-21,BK0433,农牧饲渔,4.73,1198344736.0,1125485856.0,72858880.0,-542368256.0,-655976704.0,北大荒
2022-03-21,BK1041,医疗器械,1.7,913099392.0,1198693504.0,-285594112.0,-599150336.0,-313948928.0,九安医疗
2022-03-21,BK0465,化学制药,2.97,660658944.0,1212365824.0,-551706880.0,-829218560.0,168559616.0,复星医药
2022-03-21,BK1033,电池,2.33,651480064.0,9363968.0,642116096.0,260721920.0,-912201984.0,欣旺达
2022-03-21,BK1031,光伏设备,1.03,594848832.0,797660736.0,-202811904.0,-915136512.0,320287744.0,隆基股份
2022-03-21,BK1029,汽车整车,0.7,526128656.0,586527776.0,-60399120.0,-376711408.0,-149417248.0,比亚迪
2022-03-21,BK1015,能源金属,2.42,292307344.0,483340608.0,-191033264.0,132537856.0,-424845248.0,华友钴业
2022-03-21,BK0732,贵金属,1.42,274422800.0,252403728.0,22019072.0,-122786416.0,-151636368.0,紫金矿业
2022-03-21,BK0451,房地产开发,2.26,268529968.0,341100848.0,-72570880.0,-222059008.0,-46470912.0,阳 光 城
2022-03-21,BK0459,电子元件,1.41,226847536.0,123427920.0,103419616.0,171214080.0,-398061568.0,杉杉股份
2022-03-21,BK0731,化肥行业,2.69,191328112.0,284998800.0,-93670688.0,-107859504.0,-83468608.0,盐湖股份
2022-03-21,BK0471,化纤行业,1.03,165560624.0,129417776.0,36142848.0,-136196336.0,-29364288.0,恒力石化
2022-03-21,BK1042,医药商业,4.24,159491312.0,-92758864.0,252250176.0,-20701648.0,-138789664.0,浙江震元
2022-03-21,BK0538,化学制品,1.19,90979360.0,347092000.0,-256112640.0,29178368.0,-120157696.0,永太科技
2022-03-21,BK0420,航空机场,0.27,87109800.0,31837672.0,55272128.0,-1191664.0,-85918128.0,中国国航
2022-03-21,BK0437,煤炭行业,1.89,70613216.0,77406208.0,-6792992.0,-47283456.0,-23330048.0,中国神华
2022-03-21,BK0727,医疗服务,2.53,67900000.0,124338880.0,-56438880.0,-41973488.0,-25926592.0,药明康德
2022-03-21,BK0539,综合行业,1.82,66736272.0,112926640.0,-46190368.0,-33073008.0,-33663264.0,浙农股份
2022-03-21,BK0438,食品饮料,2.25,60651520.0,128513856.0,-67862336.0,-43063552.0,-17587968.0,得利斯
2022-03-21,BK0482,商业百货,1.34,37445247.0,43293311.0,-5848064.0,-33355872.0,-4089376.0,永辉超市
2022-03-21,BK0734,珠宝首饰,0.91,33715467.0,10882134.0,22833333.0,-31426160.0,-2289328.0,萃华珠宝
2022-03-21,BK0436,纺织服装,0.99,16970803.0,46973443.0,-30002640.0,12217136.0,-29187952.0,江苏阳光
2022-03-21,BK0427,公用事业,2.35,13211452.0,30497036.0,-17285584.0,-1123280.0,-12088192.0,金房节能
2022-03-21,BK0484,贸易行业,1.95,8825232.0,-2505936.0,11331168.0,-48353456.0,39528224.0,深粮控股
2022-03-21,BK1020,非金属材料,1.22,7865968.0,-39203056.0,47069024.0,67009104.0,-74875088.0,中科电气
2022-03-21,BK1045,房地产服务,0.97,5608385.0,-12843231.0,18451616.0,-15430000.0,9821616.0,招商积余
2022-03-21,BK1018,橡胶制品,0.56,4422520.0,-84115528.0,88538048.0,44293488.0,-48716000.0,赛轮轮胎
2022-03-21,BK1043,专业服务,1.68,798708.0,48695764.0,-47897056.0,40095888.0,-40894576.0,建研院
2022-03-21,BK0485,旅游酒店,1.89,-2800752.0,-33077680.0,30276928.0,11376784.0,-8576032.0,众信旅游
2022-03-21,BK1027,小金属,1.11,-4655760.0,-6313056.0,1657296.0,-2956544.0,7612160.0,北方稀土
2022-03-21,BK0440,家用轻工,1.19,-10399725.0,-9817037.0,-582688.0,-6924640.0,17324368.0,广博股份
2022-03-21,BK0429,交运设备,2.12,-16203411.0,9461933.0,-25665344.0,-19152432.0,35355840.0,爱玛科技
2022-03-21,BK0728,环保行业,1.77,-16957824.0,91213008.0,-108170832.0,-15392384.0,32350208.0,津膜科技
2022-03-21,BK1028,燃气,0.93,-22114845.0,-10984269.0,-11130576.0,-16464480.0,38579328.0,中泰股份
2022-03-21,BK1017,采掘行业,0.22,-28080970.0,10472038.0,-38553008.0,-16268336.0,44349312.0,西藏矿业
2022-03-21,BK0740,教育,0.05,-38058673.0,-4430305.0,-33628368.0,-66485376.0,104544048.0,中公教育
2022-03-21,BK1035,美容护理,1.22,-40702544.0,-11384000.0,-29318544.0,8618608.0,32083936.0,华熙生物
2022-03-21,BK1034,电源设备,1.33,-42342811.0,-30155691.0,-12187120.0,-52622896.0,94965712.0,英杰电气
2022-03-21,BK1016,汽车服务,0.88,-44375472.0,-72754816.0,28379344.0,28233952.0,16141520.0,国机汽车
2022-03-21,BK0733,包装材料,1.02,-46562254.0,-13493950.0,-33068304.0,6347056.0,40215200.0,顺灏股份
2022-03-21,BK0457,电网设备,1.3,-47598112.0,135439296.0,-183037408.0,-114265088.0,161863168.0,双杰电气
2022-03-21,BK0421,铁路公路,0.01,-57671835.0,-10641936.0,-47029899.0,51129232.0,6542608.0,三峡旅游
2022-03-21,BK1039,电子化学品,1.96,-60424848.0,-20215936.0,-40208912.0,-85291008.0,145715872.0,瑞联新材
2022-03-21,BK1040,中药,3.08,-77506608.0,556890832.0,-634397440.0,-251442176.0,328948992.0,精华制药
2022-03-21,BK0738,多元金融,0.72,-95029143.0,-48519335.0,-46509808.0,52550288.0,42478848.0,香溢融通
2022-03-21,BK0480,航天航空,0.96,-102798624.0,-77054928.0,-25743696.0,37753120.0,65045504.0,中航机电
2022-03-21,BK1037,消费电子,0.51,-113867184.0,-151243168.0,37375984.0,108426464.0,5441024.0,歌尔股份
2022-03-21,BK0454,塑料制品,1.52,-116482386.0,-59730770.0,-56751616.0,-9860416.0,126342816.0,纳尔股份
2022-03-21,BK0470,造纸印刷,0.64,-123034254.0,-11877262.0,-111156992.0,-42288640.0,165322896.0,滨海能源
2022-03-21,BK1044,生物制品,2.16,-124840240.0,-27572528.0,-97267712.0,117426688.0,7413248.0,沃森生物
2022-03-21,BK0476,装修建材,1.25,-142422144.0,-25134224.0,-117287920.0,-58684272.0,201106432.0,青龙管业
2022-03-21,BK0729,船舶制造,0.54,-147734503.0,-88784295.0,-58950208.0,32716816.0,115017696.0,中船防务
2022-03-21,BK0910,专用设备,2.07,-158527264.0,36281312.0,-194808576.0,-105917184.0,264444416.0,威海广泰
2022-03-21,BK1038,光学光电子,1.04,-162216912.0,-196655216.0,34438304.0,44514288.0,117702624.0,乾照光电
2022-03-21,BK0458,仪器仪表,1.39,-165060190.0,-76974430.0,-88085760.0,25833552.0,139226624.0,精测电子
2022-03-21,BK0725,装修装饰,2.02,-168114200.0,-77110264.0,-91003936.0,34168864.0,133945344.0,柯利达
2022-03-21,BK0546,玻璃玻纤,1.11,-178938816.0,-33835408.0,-145103408.0,4886304.0,174052496.0,力诺特玻
