date,code,name,new_price,price_pct,net_amount,net_super_amount,net_large_amount,net_middle_amount,net_small_amount
2022-03-21,ts002432,九安医疗,62.98,9.26,1168424240.0,1213520608.0,-45096368.0,-561790560.0,-606633680.0
2022-03-21,ts601012,隆基股份,82.59,2.37,822629552.0,783869008.0,38760544.0,-468456000.0,-354173552.0
2022-03-21,ts002594,比亚迪,245.38,4.64,783902064.0,619141392.0,164760672.0,-379265616.0,-404636416.0
2022-03-21,ts600196,复星医药,55.52,10.01,470961344.0,565728976.0,-94767632.0,-302099488.0,-168861840.0
2022-03-21,ts002326,永太科技,34.0,10.0,354980304.0,482893328.0,-127913024.0,-169428496.0,-185551824.0
2022-03-21,ts300207,欣旺达,31.66,1.7,350025392.0,92592192.0,257433200.0,-84389712.0,-265635680.0
2022-03-21,ts002349,精华制药,20.42,10.02,346011696.0,365690272.0,-19678576.0,-177289184.0,-168722512.0
2022-03-21,ts603799,华友钴业,102.99,6.16,323302528.0,275589312.0,47713216.0,-123348464.0,-199954064.0
2022-03-21,ts000513,丽珠集团,41.25,10.0,283405712.0,439377568.0,-155971856.0,-172681680.0,-110724033.0
2022-03-21,ts002465,海格通信,10.09,10.03,262865690.0,222824503.0,40041187.0,-102820172.0,-160045516.0
2022-03-21,ts002178,延华智能,6.78,10.06,262001744.0,272746234.0,-10744490.0,-106209397.0,-155792346.0
2022-03-21,ts603259,药明康德,105.7,2.01,206350141.0,180605421.0,25744720.0,-94282320.0,-112067824.0
2022-03-21,ts601899,紫金矿业,11.0,3.48,204081040.0,254616224.0,-50535184.0,-83253888.0,-120827168.0
2022-03-21,ts000792,盐湖股份,29.95,3.74,199248896.0,231573568.0,-32324672.0,-83691232.0,-115557664.0
2022-03-21,ts300725,药石科技,96.31,4.68,189903118.0,58135453.0,131767665.0,-44284992.0,-145618132.0
2022-03-21,ts600598,北大荒,15.14,10.03,187378076.0,195937998.0,-8559922.0,-81501728.0,-105876351.0
2022-03-21,ts300014,亿纬锂能,85.4,0.83,180655808.0,85872.0,180569936.0,-67131168.0,-113524640.0
2022-03-21,ts600111,北方稀土,42.15,2.08,178737568.0,151393520.0,27344048.0,-118350000.0,-60387536.0
2022-03-21,ts000671,阳 光 城,2.87,9.96,165305510.0,233962054.0,-68656544.0,-92812736.0,-72492800.0
2022-03-21,ts601789,宁波建工,7.63,9.94,165174174.0,121282467.0,43891707.0,-40185826.0,-124988353.0
2022-03-21,ts600127,金健米业,9.96,10.06,163600280.0,111927590.0,51672690.0,-69288733.0,-94311554.0
2022-03-21,ts002245,蔚蓝锂芯,24.33,2.88,155961818.0,205942250.0,-49980432.0,-58162560.0,-97799264.0
2022-03-21,ts300444,双杰电气,6.34,20.08,152176965.0,144453722.0,7723243.0,-78289481.0,-73887483.0
2022-03-21,ts600340,华夏幸福,3.2,9.97,146475936.0,118967201.0,27508735.0,-54469722.0,-92006214.0
2022-03-21,ts600602,云赛智联,9.59,9.98,141975087.0,139509313.0,2465774.0,-70725024.0,-71250064.0
2022-03-21,ts300142,沃森生物,59.9,3.81,136181136.0,92548416.0,43632720.0,-75875712.0,-60305424.0
2022-03-21,ts600220,江苏阳光,4.02,10.14,133080047.0,93362475.0,39717572.0,-38253648.0,-94826384.0
2022-03-21,ts600438,通威股份,44.78,1.08,132019472.0,105434608.0,26584864.0,-82403360.0,-49616112.0
2022-03-21,ts000739,普洛药业,36.92,10.01,122244130.0,180440946.0,-58196816.0,-50678640.0,-71565504.0
2022-03-21,ts001313,粤海饲料,17.06,9.99,119977599.0,119600452.0,377147.0,-53741077.0,-66236521.0
2022-03-21,ts603056,德邦股份,19.46,9.94,119359948.0,97737148.0,21622800.0,-73562272.0,-45797696.0
2022-03-21,ts301219,C腾远,190.5,2.96,114517774.0,95380350.0,19137424.0,-52467872.0,-62049904.0
2022-03-21,ts603290,斯达半导,415.0,4.4,112506079.0,16110660.0,96395419.0,-107308000.0,-5198066.0
2022-03-21,ts000918,嘉凯城,2.79,9.84,106346180.0,99691233.0,6654947.0,-44510056.0,-61836123.0
2022-03-21,ts688185,康希诺-U,266.7,8.82,103266454.0,107373574.0,-4107120.0,-90164176.0,-13102273.0
2022-03-21,ts300122,智飞生物,141.39,1.31,103205856.0,53024144.0,50181712.0,-102264656.0,-941232.0
2022-03-21,ts300972,万辰生物,19.12,20.03,102733044.0,89009687.0,13723357.0,-48710651.0,-54022394.0
2022-03-21,ts002457,青龙管业,11.13,9.87,102652199.0,129565567.0,-26913368.0,-56720035.0,-45932161.0
2022-03-21,ts300094,国联水产,7.07,13.48,101406752.0,127093056.0,-25686304.0,-38683472.0,-62723280.0
2022-03-21,ts002124,天邦股份,7.36,10.01,100197546.0,167738634.0,-67541088.0,-35999552.0,-64197968.0
2022-03-21,ts600346,恒力石化,22.14,0.23,96464462.0,26153456.0,70311006.0,-60758052.0,-35706410.0
2022-03-21,ts002241,歌尔股份,37.99,1.44,96257056.0,-65974224.0,162231280.0,3215120.0,-99472192.0
2022-03-21,ts601088,中国神华,26.1,4.27,95221784.0,82893784.0,12328000.0,-27446464.0,-67775344.0
2022-03-21,ts000019,深粮控股,8.26,9.99,88399154.0,89466543.0,-1067389.0,-39846638.0,-48552515.0
